0,Saskatoon,52.1579,-106.6702
1,Regina,50.4452,-104.6189
2,Prince Albert,53.2033,-105.7531
3,Moose Jaw,50.393333,-105.551941
4,North Battleford,52.7765,-108.2975
5,Yorkton,51.2174,-102.4739
6,Swift Current,50.2851,-107.7972
7,Weyburn,49.7,-103.8
8,Loon lake rcs,54.01972222222222,-109.13833333333334
9,Meadow lake a,54.125277777777775,-108.05028388888888
10,Southend,56.333333333333336,-103.28333333333333
11,Spiritwood west,53.36666666666667,-107.55
12,Stony rapids,59.250277777777775,-105.84138888888889
13,Waskesiu lake,53.916666666666664,-106.06666666666666
14,Meadow lake,54.13333333333333,-108.51666666666667
15,Uranium city (aut),59.56666666666667,-108.48333333333333
16,Nipawin,53.3325,-104.00833333333334
17,Hudson bay 13w,52.88333333333333,-102.58333333333333
18,Hudson bay(aut),52.81666666666667,-102.31666666666666
19,Mckague 2,52.583333333333336,-103.83333333333333
20,Pelly,52.083333333333336,-101.86666666666666
21,Pelly 2,51.733333333333334,-101.9
