Start,End,X,Y,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,Canada,912.0379,299.40625,8880.0,8670.0,8147.0,7338.0,5704.0,4211.0,7150.0,10189.0,11522.0,10343.0,12041.0,13734.0,13673.0,21496.0,18620.0,18489.0,23859.0,22268.0,17241.0,18974.0,28572.0,31223.0,31889.0,27155.0,28235.0,36210.0,33848.0,28742.0,28261.0,29456.0,34235.0,27509.0,30933.0,33087.0,-1.0,664465.0,-1.0,602146.0,-1.0,712050.0,720083.0
Italy,Canada,1256.3729,414.7652,1820.0,2057.0,1480.0,820.0,858.0,667.0,731.0,1101.0,885.0,1068.0,895.0,711.0,623.0,663.0,558.0,508.0,476.0,491.0,399.0,410.0,383.0,410.0,374.0,321.0,334.0,344.0,325.0,320.0,370.0,429.0,434.0,374.0,440.0,545.0,-1.0,235183.0,-1.0,280004.0,-1.0,252025.0,254831.0
Pakistan,Canada,740.0711,805.7678,978.0,972.0,1201.0,900.0,668.0,514.0,691.0,1072.0,1334.0,2261.0,2470.0,3079.0,4071.0,4777.0,4666.0,4994.0,9125.0,13073.0,9068.0,9979.0,15400.0,16708.0,15110.0,13205.0,13399.0,14314.0,13127.0,10124.0,8994.0,7217.0,6811.0,7468.0,11227.0,12603.0,-1.0,201014.0,-1.0,159131.0,-1.0,215409.0,217807.0
Philippines,Canada,597.62366,826.17456,6051.0,5921.0,5249.0,4562.0,3801.0,3150.0,4166.0,7360.0,8639.0,11865.0,12509.0,12718.0,13670.0,20479.0,19532.0,15864.0,13692.0,11549.0,8735.0,9734.0,10763.0,13836.0,11707.0,12758.0,14004.0,18139.0,18400.0,19837.0,24887.0,28573.0,38617.0,36765.0,34315.0,29544.0,-1.0,584697.0,-1.0,528257.0,-1.0,626569.0,633547.0
Croatia,Germany,2525.3535,788.9213,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,710.0,754.0,572.0,265.0,143.0,363.0,-1.0,343.0,-1.0,-1.0,1446.0,1020.0,939.0,-1.0,840.0,1096.0,655.0,-1.0,-1.0,1061.0,1883.0,-1.0,-1.0,176585.0,-1.0,210184.0,-1.0,321527.0,385778.0
Croatia,Serbia,2828.986,387.2844,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2907.0,3817.0,3682.0,-1.0,-1.0,3301.0,3995.0,-1.0,-1.0,283247.0,-1.0,281304.0,-1.0,287762.0,288708.0
Germany,Austria,2104.9255,1455.1733,21135.0,23199.0,20804.0,17003.0,15536.0,15064.0,13495.0,12985.0,13020.0,14118.0,14697.0,17137.0,15692.0,15032.0,15152.0,14430.0,14537.0,15025.0,14377.0,15221.0,15112.0,14875.0,15929.0,15976.0,18528.0,17535.0,18604.0,20152.0,24049.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,223705.0,-1.0,246340.0,-1.0,264081.0,232836.0
Germany,France,1442.1597,1175.6558,14148.0,14485.0,15088.0,13383.0,12652.0,13036.0,12423.0,12613.0,12210.0,13873.0,14594.0,16944.0,17214.0,17593.0,19155.0,19296.0,19480.0,20606.0,20325.0,21173.0,19415.0,19234.0,19815.0,19060.0,20846.0,17957.0,17790.0,17912.0,21546.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,208540.0,-1.0,237178.0,-1.0,220741.0,203426.0
Germany,Italy,1906.1821,584.0653,80092.0,83657.0,84896.0,75236.0,64947.0,54618.0,44757.0,42451.0,40038.0,41589.0,37004.0,39207.0,35405.0,33524.0,34970.0,36602.0,39404.0,40758.0,39867.0,38367.0,36707.0,36104.0,36535.0,33802.0,36273.0,28579.0,26807.0,25413.0,28319.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,214330.0,-1.0,223883.0,-1.0,218158.0,211223.0
Germany,Poland,2117.1658,1266.8917,28624.0,49980.0,33609.0,35478.0,52839.0,58086.0,62775.0,71520.0,101357.0,145903.0,162130.0,118029.0,112062.0,104789.0,70322.0,77004.0,78889.0,79062.0,70626.0,69507.0,71409.0,76021.0,78739.0,82910.0,104538.0,105491.0,112492.0,120791.0,132438.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76313.0,-1.0,79940.0,-1.0,80820.0,100688.0
Germany,Spain,1486.4524,1314.3987,11785.0,10804.0,12741.0,12807.0,11803.0,10587.0,9663.0,10133.0,9566.0,10111.0,9732.0,9485.0,10201.0,11104.0,12402.0,12225.0,13670.0,15570.0,16205.0,16868.0,16120.0,16329.0,16681.0,16236.0,18010.0,16059.0,16734.0,17123.0,19613.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200641.0,-1.0,202544.0,-1.0,199117.0,200659.0
Germany,Switzerland,2159.7183,680.9378,7414.0,7346.0,7521.0,7286.0,7252.0,7056.0,7408.0,7896.0,7659.0,8055.0,8002.0,8288.0,8544.0,8311.0,8691.0,8970.0,8852.0,9179.0,10011.0,10790.0,11909.0,13148.0,14660.0,14792.0,16864.0,18224.0,22240.0,28237.0,35061.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,352966.0,-1.0,376007.0,-1.0,363037.0,357112.0
Germany,Turkey,2274.2124,567.34155,70996.0,71472.0,87426.0,101257.0,214811.0,61387.0,52653.0,46671.0,40627.0,38385.0,35866.0,36763.0,41038.0,47115.0,47174.0,44129.0,44615.0,47120.0,46255.0,42131.0,40369.0,37268.0,36740.0,35612.0,37058.0,34595.0,33229.0,32172.0,38889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,274691.0,-1.0,324602.0,-1.0,371430.0,376288.0
Austria,Germany,2336.9707,1417.2075,27849.0,24324.0,18367.0,15770.0,15049.0,15702.0,15981.0,16319.0,17468.0,18679.0,18669.0,16898.0,16490.0,15543.0,-1.0,14308.0,13802.0,13822.0,14432.0,15886.0,15964.0,15820.0,14401.0,-1.0,13466.0,13758.0,14719.0,15743.0,16828.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,217137.0,-1.0,258452.0,-1.0,238191.0,285790.0
